/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:tt) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:tt) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ss) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ss) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:sf) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:sf) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:fs) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:fs) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ff) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ff) Y
0,0.1856439252394777,0,0.187046993652806,0,0.2829563916454376,0,0.1252520168185547,0,0.1830990910082277
0.024,0.177384372642641,0.024,0.1763164847511302,0.024,0.2712037774761041,0.024,0.1187250505033466,0.024,0.1767804931710103
0.048,0.1692119740106591,0.048,0.1658324150988242,0.048,0.2596617423925169,0.048,0.1122739855251978,0.048,0.1704821656666465
0.07200000000000001,0.1611298420573736,0.07200000000000001,0.1555966296033223,0.07200000000000001,0.2483276415897376,0.07200000000000001,0.1059043300908077,0.07200000000000001,0.1642046902730313
0.096,0.1531412868065295,0.096,0.1456110600025432,0.096,0.2371981283287732,0.096,0.0996218066771566,0.096,0.1579475789794428
0.12,0.1452498700245356,0.12,0.1358787393275778,0.12,0.2262695406836993,0.12,0.09343652220318829,0.12,0.1517084405387442
0.144,0.1374601387689464,0.144,0.1264077207761732,0.144,0.2155381778390194,0.144,0.0873517562966402,0.144,0.1454817092649301
0.168,0.1297878624080349,0.168,0.1172103024547847,0.168,0.2050005243119158,0.168,0.08136383387427473,0.168,0.1392636245590848
0.192,0.1222259871407171,0.192,0.1082788857690811,0.192,0.194653775835181,0.192,0.07547103470345884,0.192,0.1330344292425229
0.216,0.114771122203864,0.216,0.09962008170179534,0.216,0.1845103030418339,0.216,0.06966609297486989,0.216,0.1267453342691358
0.24,0.1074233079092818,0.24,0.09124239265556756,0.24,0.1745655889234201,0.24,0.06393422865693098,0.24,0.1203382286726634
0.264,0.1001792529128075,0.264,0.08315505188833608,0.264,0.1647974688589744,0.264,0.05825400995589656,0.264,0.1137338226631497
0.288,0.09303035704562614,0.288,0.07536757592810017,0.288,0.1552010665143544,0.288,0.0526054138353239,0.288,0.106843863245691
0.312,0.08596090078527818,0.312,0.06788916745830942,0.312,0.1457697771081613,0.312,0.04698844021653484,0.312,0.09960467354522971
0.336,0.0789477988382972,0.336,0.06072796860705693,0.336,0.136492973559074,0.336,0.04144561479026116,0.336,0.09202494387560672
0.36,0.07196517726376818,0.36,0.05389033658800236,0.36,0.127353582422052,0.36,0.03606883969756816,0.36,0.08422110031894818
0.3840000000000001,0.06499777627767052,0.3840000000000001,0.04738061296767215,0.3840000000000001,0.1183253385963734,0.3840000000000001,0.03097658544760357,0.3840000000000001,0.0764059707883025
0.4080000000000001,0.05806314730986003,0.4080000000000001,0.04120234708929672,0.4080000000000001,0.1093710437520707,0.4080000000000001,0.02627475951651538,0.4080000000000001,0.06882312945173545
0.4320000000000001,0.05123187119607318,0.4320000000000001,0.03536232079241824,0.4320000000000001,0.1004452092126562,0.4320000000000001,0.02202923405583476,0.4320000000000001,0.06166824447621332
0.4560000000000001,0.04462606176426966,0.4560000000000001,0.02987772005579996,0.4560000000000001,0.09150626546624328,0.4560000000000001,0.01826190656258751,0.4560000000000001,0.05504927387128673
0.4800000000000001,0.03838744435251432,0.4800000000000001,0.02478298696546662,0.4800000000000001,0.08254197057413115,0.4800000000000001,0.01496201566391909,0.4800000000000001,0.04899423771614381
0.5040000000000001,0.03263433467579271,0.5040000000000001,0.02012905479522058,0.5040000000000001,0.07360273954632829,0.5040000000000001,0.01210055013767398,0.5040000000000001,0.04348050767730968
0.5280000000000001,0.02743599513079231,0.5280000000000001,0.01597106855665702,0.5280000000000001,0.06482138136628172,0.5280000000000001,0.009641317757552567,0.5280000000000001,0.03846226741500367
0.5520000000000002,0.02281241159501505,0.5520000000000002,0.01235078123184817,0.5520000000000002,0.05639125935862255,0.5520000000000002,0.00754748678998696,0.5520000000000002,0.03388825616595668
0.5760000000000002,0.018748403429381,0.5760000000000002,0.009284395215715779,0.5760000000000002,0.04850467663057127,0.5760000000000002,0.005784629120766497,0.5760000000000002,0.02971087500869196
0.6000000000000002,0.01520955964425156,0.6000000000000002,0.00676069107911159,0.6000000000000002,0.04129517284682926,0.6000000000000002,0.004321613200852835,0.6000000000000002,0.02588982561342573
0.6240000000000002,0.01215411980413422,0.6240000000000002,0.004746577624592331,0.6240000000000002,0.03481959461397875,0.6240000000000002,0.003130332877847935,0.6240000000000002,0.02239284486941984
0.6480000000000002,0.009540001312804622,0.6480000000000002,0.003194643297018102,0.6480000000000002,0.02907383398870218,0.6480000000000002,0.00218478813514067,0.6480000000000002,0.01919510083828236
0.6720000000000003,0.007328132010217783,0.6720000000000003,0.002048768395679244,0.6720000000000003,0.02401843946457876,0.6720000000000003,0.001459651080113403,0.6720000000000003,0.01627808179867311
0.6960000000000003,0.005483452140680551,0.6960000000000003,0.001246459365686019,0.6960000000000003,0.0195994055145462,0.6960000000000003,0.0009283081659595056,0.6960000000000003,0.01362837724034245
0.7200000000000003,0.003974556860542459,0.7200000000000003,0.0007194362099727146,0.7200000000000003,0.01576085573484821,0.7200000000000003,0.0005607763397819302,0.7200000000000003,0.01123652166874475
0.7440000000000003,0.002772450598958352,0.7440000000000003,0.0003964505244811655,0.7440000000000003,0.01245128030791312,0.7440000000000003,0.0003229575727896492,0.7440000000000003,0.009095961743927499
0.7680000000000003,0.001848466955388917,0.7680000000000003,0.0002109105512738108,0.7680000000000003,0.009625749064058293,0.7680000000000003,0.0001791036527495589,0.7680000000000003,0.007202155996825265
0.7920000000000004,0.001171320608076997,0.7920000000000004,0.0001095902505485301,0.7920000000000004,0.007245917851815783,0.7920000000000004,9.697184701628254e-05,0.7920000000000004,0.005551783819724844
0.8160000000000004,0.0007040053387718796,0.8160000000000004,5.611636033589715e-05,0.8160000000000004,0.005278867448806099,0.8160000000000004,5.201896449341091e-05,0.8160000000000004,0.004141989419682132
0.8400000000000004,0.0004028881715984,0.8400000000000004,2.848231602268083e-05,0.8400000000000004,0.003695129933087789,0.8400000000000004,2.808490372779484e-05,0.8400000000000004,0.00296947183618174
0.8640000000000004,0.000221619146123855,0.8640000000000004,1.438236592467526e-05,0.8640000000000004,0.002465689248526903,0.8640000000000004,1.555796759883262e-05,0.8640000000000004,0.002029019565417293
0.8880000000000005,0.0001185568526298219,0.8880000000000005,7.244355546174909e-06,0.8880000000000005,0.001557537979946112,0.8880000000000005,9.068893335293904e-06,0.8880000000000005,0.001310887982458853
0.9120000000000005,6.232819677701815e-05,0.9120000000000005,3.648928068696173e-06,0.9120000000000005,0.0009283878529326361,0.9120000000000005,5.726872197512536e-06,0.9120000000000005,0.0007968225567111485
0.9360000000000005,3.246748939485958e-05,0.9360000000000005,1.843996793698277e-06,0.9360000000000005,0.0005239771930773104,0.9360000000000005,4.009260420980568e-06,0.9360000000000005,0.0004565618820513184
0.9600000000000005,1.687700363736861e-05,0.9600000000000005,9.400408570935044e-07,0.9600000000000005,0.0002828909328326889,0.9600000000000005,3.124838339925687e-06,0.9600000000000005,0.0002492656453389593
0.9840000000000005,8.824266222126655e-06,0.9840000000000005,4.88079429752733e-07,0.9840000000000005,0.0001480034898725387,0.9840000000000005,2.666021629857318e-06,0.9840000000000005,0.0001319269192443886
1.008,4.693669081364654e-06,1.008,2.62364757419711e-07,1.008,7.587707353123123e-05,1.008,2.424069163643927e-06,1.008,6.903004996347407e-05
1.032,2.584414096185407e-06,1.032,1.496998365786308e-07,1.032,3.841376964987708e-05,1.032,2.292510026178258e-06,1.032,3.648671170116571e-05
1.056,1.510294878591231e-06,1.056,9.344179543209158e-08,1.056,1.93008548062785e-05,1.056,2.217197224667172e-06,1.056,2.000706106859077e-05
1.080000000000001,9.639467444748877e-07,1.080000000000001,6.529507616835043e-08,1.080000000000001,9.658905249201816e-06,1.080000000000001,2.170652627634369e-06,1.080000000000001,1.176804870173042e-05
1.104000000000001,6.858334188601997e-07,1.104000000000001,5.11456148930996e-08,1.104000000000001,4.830314372039018e-06,1.104000000000001,2.138951732416849e-06,1.104000000000001,7.678295800194062e-06
1.128000000000001,5.437280577494469e-07,1.128000000000001,4.396250343418947e-08,1.128000000000001,2.424320365495754e-06,1.128000000000001,2.115042461779074e-06,1.128000000000001,5.65369205492462e-06
1.152000000000001,4.704693913892888e-07,1.152000000000001,4.024752116699509e-08,1.152000000000001,1.229808761948683e-06,1.152000000000001,2.095350964110146e-06,1.152000000000001,4.649284619579236e-06
1.176000000000001,4.32027112806288e-07,1.176000000000001,3.82620403339304e-08,1.176000000000001,6.383927296137612e-07,1.176000000000001,2.078061218737454e-06,1.176000000000001,4.146363839319687e-06
1.2,4.111923967753705e-07,1.2,3.714260380282599e-08,1.2,3.461882008432256e-07,1.2,2.062244457917146e-06,1.2,3.889166956941846e-06
